"('anchor', 'track_id')","('positive', 'track_id')","('negative', 'track_id')","('anchor', 'genre_top')","('positive', 'genre_top')","('negative', 'genre_top')","('anchor', 'album_id')","('positive', 'album_id')","('negative', 'album_id')","('anchor', 'artist_id')","('positive', 'artist_id')","('negative', 'artist_id')","('anchor', 'genres_all')","('positive', 'genres_all')","('negative', 'genres_all')"
10693,73551,41147,Hip-Hop,Hip-Hop,Electronic,2645,13022,7915,2631,14456,8403,[21],[21],[15]
114268,136468,16820,Hip-Hop,Hip-Hop,Rock,17607,20500,3823,18587,14456,4632,"[811, 21]",[21],"[404, 12, 85]"
49478,114042,60041,Hip-Hop,Hip-Hop,International,9417,17582,7824,11217,19459,9348,[21],[21],"[2, 92, 214]"
13670,97568,62595,Hip-Hop,Hip-Hop,International,3221,15804,7688,3739,17853,9165,[21],"[539, 21]","[81, 2, 92]"
71244,128441,113359,Hip-Hop,Hip-Hop,Folk,12639,19381,17474,14544,16031,19389,"[100, 21]",[21],"[17, 103]"
22088,142089,23172,Hip-Hop,Hip-Hop,Rock,4879,18166,5081,5844,19803,5208,[21],[21],[12]
108808,10192,65488,Hip-Hop,Hip-Hop,Electronic,16889,2517,11796,18921,2430,13637,[21],"[100, 21]","[42, 495, 15]"
71243,141561,121662,Hip-Hop,Hip-Hop,Instrumental,12639,21277,18457,14544,22568,11939,"[100, 21]","[100, 21]","[107, 18, 1235]"
63804,131422,60037,Hip-Hop,Hip-Hop,International,11519,19793,7824,5334,18872,9348,[21],[21],"[2, 92, 214]"
78841,98585,38323,Hip-Hop,Hip-Hop,International,13583,15949,7686,15601,15196,9162,"[83, 100, 21]","[539, 21]","[2, 524, 117, 130]"
150287,60478,57658,Hip-Hop,Hip-Hop,Rock,22410,11069,10612,16031,3230,9123,[21],[21],"[66, 12, 111, 85, 25]"
145744,13767,66638,Hip-Hop,Hip-Hop,Electronic,21775,3234,11957,18872,3773,13889,[21],[21],"[42, 468, 15]"
43858,130711,74381,Hip-Hop,Hip-Hop,Experimental,8608,19682,13141,3738,21509,14721,"[811, 21]","[100, 21]","[16, 38, 763, 6]"
86680,24431,91899,Hip-Hop,Hip-Hop,Experimental,14597,5347,15197,8665,6274,5994,[21],[21],"[41, 38]"
98556,32687,57665,Hip-Hop,Hip-Hop,International,15947,6793,10585,12271,3717,12499,"[539, 21]","[21, 542]","[2, 92]"
6608,114037,122654,Hip-Hop,Hip-Hop,Instrumental,2011,17582,18567,1882,19459,20108,[21],[21],"[18, 1235]"
142360,55124,73366,Hip-Hop,Hip-Hop,Electronic,21372,10278,12984,16031,12085,8538,[21],"[811, 21]","[42, 495, 15]"
86678,142089,44797,Hip-Hop,Hip-Hop,Experimental,14597,18166,8698,8665,19803,1874,[21],[21],"[360, 38, 6]"
123977,4684,138311,Hip-Hop,Hip-Hop,Rock,18752,1131,20786,20707,618,22240,"[539, 21]",[21],"[88, 25, 12, 111]"
72781,53379,81037,Hip-Hop,Hip-Hop,Folk,12921,9987,13855,3593,8732,15255,[21],"[100, 21]","[17, 94]"
114274,53381,29351,Hip-Hop,Hip-Hop,International,17607,9987,6274,18587,8732,7326,"[811, 21]","[100, 21]","[2, 46]"
142082,109681,113790,Hip-Hop,Hip-Hop,Instrumental,18166,17015,17537,19803,19024,19432,[21],[21],"[107, 1235]"
72135,7489,57371,Hip-Hop,Hip-Hop,Instrumental,12793,2095,10572,14456,1953,2240,[21],[21],"[538, 18, 1235]"
64992,63770,87490,Hip-Hop,Hip-Hop,Rock,11726,11515,14733,13533,7473,16755,"[811, 21]",[21],"[25, 12]"
22091,149370,62003,Hip-Hop,Hip-Hop,Instrumental,4879,22272,11258,5845,22006,13198,[21],"[539, 21]","[18, 1235]"
108488,91318,143304,Hip-Hop,Hip-Hop,Instrumental,16872,15119,21506,18878,17014,22795,"[539, 21]",[21],"[18, 1235]"
75371,89447,76075,Hip-Hop,Hip-Hop,International,13247,14928,13312,12271,8021,15393,[21],[21],"[2, 130]"
108845,12394,138211,Hip-Hop,Hip-Hop,Rock,16894,2991,20770,16031,3350,22229,[21],[21],"[66, 359, 12, 113, 26]"
111936,149689,54235,Hip-Hop,Hip-Hop,Pop,17282,10174,10139,19201,11979,6877,"[539, 21]",[21],[10]
98573,75746,127541,Hip-Hop,Hip-Hop,Experimental,15949,13285,19285,15196,12271,21106,"[539, 21]","[539, 21]","[224, 38]"
129806,13748,36481,Hip-Hop,Hip-Hop,Rock,19557,3230,7439,21393,3771,8722,"[811, 21, 542]",[21],"[66, 12]"
78516,114042,24963,Hip-Hop,Hip-Hop,Experimental,13562,17582,5469,9224,19459,129,[21],[21],"[224, 38]"
78849,121313,131658,Hip-Hop,Hip-Hop,Rock,13584,18416,19831,15601,20304,21587,"[83, 100, 21]","[811, 539, 100, 21]","[25, 12, 85, 111]"
145743,26017,67829,Hip-Hop,Hip-Hop,Experimental,21775,4918,12148,18872,4454,13830,[21],[21],"[41, 38]"
11794,142089,90616,Hip-Hop,Hip-Hop,Instrumental,2898,18166,15010,3089,19803,16986,[21],[21],"[267, 107, 1235]"
68531,112486,138066,Hip-Hop,Hip-Hop,Pop,12253,17355,20749,3593,16031,22223,[21],[21],[10]
98620,123981,131924,Hip-Hop,Hip-Hop,Instrumental,15953,18754,19869,17784,20709,21616,"[539, 21]",[21],"[107, 18, 1235]"
105443,98585,107805,Hip-Hop,Hip-Hop,Rock,16471,15949,16782,18538,15196,18798,[21],"[539, 21]","[12, 31]"
129920,54376,114538,Hip-Hop,Hip-Hop,Instrumental,19576,10174,17648,21421,11979,19461,"[539, 21]",[21],"[18, 1235]"
143290,71247,112215,Hip-Hop,Hip-Hop,Experimental,21505,12639,17326,22552,14544,19260,[21],"[100, 21]","[38, 47]"
12173,98581,40242,Hip-Hop,Hip-Hop,Folk,2964,15949,7980,3216,15196,77,[21],"[539, 21]",[17]
75375,142671,126354,Hip-Hop,Hip-Hop,Pop,13247,21430,19095,12271,22688,20992,[21],"[811, 83, 100, 21]","[10, 76]"
148031,43857,110691,Hip-Hop,Hip-Hop,Electronic,22069,8608,17142,23527,10230,19102,"[100, 21, 580]","[811, 21]","[400, 42, 182, 15]"
141167,111935,108342,Hip-Hop,Hip-Hop,Electronic,7414,17282,16855,8691,19201,18846,"[100, 21]","[539, 21]","[240, 297, 15]"
11921,94465,124874,Hip-Hop,Hip-Hop,Instrumental,2905,15500,18867,3070,3593,20760,[21],[21],"[18, 1235]"
136469,55900,84139,Hip-Hop,Hip-Hop,Experimental,20500,10350,14199,14456,12207,16270,[21],[21],"[224, 38]"
110768,123966,38363,Hip-Hop,Hip-Hop,Folk,17152,18752,7693,16031,20707,9172,[21],"[539, 21]","[49, 17]"
99096,154306,58054,Hip-Hop,Hip-Hop,Experimental,16020,22780,10715,16031,23208,9974,[21],"[811, 539, 21]","[32, 1, 38]"
75926,75420,53675,Hip-Hop,Hip-Hop,Experimental,13303,13250,10031,15323,12271,11883,"[811, 21]","[539, 21]",[38]
98569,26014,85692,Hip-Hop,Hip-Hop,Folk,15948,4918,14447,15196,4454,5104,"[539, 21]",[21],"[17, 33]"
98577,128443,66076,Hip-Hop,Hip-Hop,Electronic,15949,19381,11879,15196,21147,13767,"[539, 21]",[21],"[42, 15]"
56641,20469,39357,Hip-Hop,Hip-Hop,International,10458,4612,7837,11216,5443,9378,[21],[21],"[2, 79]"
98575,64627,43024,Hip-Hop,Hip-Hop,International,15949,11651,8426,15196,13493,10060,"[539, 21]","[811, 21]","[2, 172]"
129919,42040,141874,Hip-Hop,Hip-Hop,Electronic,19576,8258,21295,21421,6441,22429,"[539, 21]",[21],"[181, 15]"
2,110259,126016,Hip-Hop,Hip-Hop,Instrumental,1,17087,19042,1,19057,19461,[21],"[539, 21]","[18, 1235]"
4684,149951,74380,Hip-Hop,Hip-Hop,Experimental,1131,22221,13141,618,11979,15121,[21],[21],"[16, 38, 763, 6]"
138217,97986,148430,Hip-Hop,Hip-Hop,International,20771,15864,22128,14456,17695,23586,[21],[21],"[2, 46]"
13199,67793,134950,Hip-Hop,Hip-Hop,International,3141,12144,20262,3593,11677,19607,[21],[21],"[1032, 2, 102]"
145747,11777,111372,Hip-Hop,Hip-Hop,Pop,21776,2898,17220,16031,3089,16362,[21],[21],"[10, 76]"
43865,71175,131912,Hip-Hop,Hip-Hop,Instrumental,8608,12630,19869,3738,11213,21616,"[811, 21]","[811, 21]","[107, 18, 1235]"
78998,109686,133448,Hip-Hop,Hip-Hop,Instrumental,13604,17015,20057,9224,19024,21803,[21],[21],"[18, 1235]"
146151,32695,97373,Hip-Hop,Hip-Hop,Experimental,21837,6793,15778,23260,3717,7473,[21],"[21, 542]",[38]
58213,11918,20432,Hip-Hop,Hip-Hop,International,10750,2905,4604,12612,3070,5436,[21],[21],"[2, 171]"
141166,36984,11682,Hip-Hop,Hip-Hop,International,7414,7492,2870,8691,6274,2795,"[100, 21]",[21],"[2, 46]"
107027,108496,33068,Hip-Hop,Hip-Hop,International,16672,16872,6855,12085,18877,8100,[21],"[539, 21]","[2, 46, 502]"
24420,19438,18037,Hip-Hop,Hip-Hop,International,5347,4412,4129,6274,2752,4967,[21],[21],"[2, 92]"
146725,108745,21400,Hip-Hop,Hip-Hop,Pop,21896,16884,4764,23348,18872,5636,[21],[21],"[10, 76]"
121323,114268,148,Hip-Hop,Hip-Hop,Experimental,18416,17607,66,20304,18587,57,"[811, 539, 100, 21]","[811, 21]","[1, 38]"
11783,108799,90527,Hip-Hop,Hip-Hop,Instrumental,2898,16889,15010,3089,18921,16986,[21],[21],"[267, 107, 1235]"
78156,11763,133102,Hip-Hop,Hip-Hop,Instrumental,13511,2898,20029,8694,3089,19472,[21],[21],[1235]
141567,98573,92546,Hip-Hop,Hip-Hop,Electronic,21277,15949,15313,22568,15196,17235,"[100, 21]","[539, 21]","[296, 182, 15]"
11788,129920,69188,Hip-Hop,Hip-Hop,Pop,2898,19576,12274,3089,21421,14160,[21],"[539, 21]","[10, 76]"
72136,7491,82932,Hip-Hop,Hip-Hop,Instrumental,12793,2095,14061,14456,1953,13830,[21],[21],"[18, 1235]"
11920,72781,118958,Hip-Hop,Hip-Hop,Experimental,2905,12921,18212,3070,3593,19268,[21],[21],"[32, 38]"
75391,110266,92888,Hip-Hop,Hip-Hop,Experimental,13248,17087,15336,12271,19059,14774,"[539, 21]","[539, 21]","[224, 1, 38]"
63874,144740,115764,Hip-Hop,Hip-Hop,Rock,11532,21613,17801,3593,21888,19691,[21],[21],"[12, 31]"
108846,129806,46068,Hip-Hop,Hip-Hop,Experimental,16894,19557,8878,16031,21393,10570,[21],"[811, 21, 542]","[1, 38, 41]"
145751,140623,131911,Hip-Hop,Hip-Hop,Instrumental,21776,21155,19869,16031,16031,21616,[21],[21],"[107, 18, 1235]"
78852,17496,121472,Hip-Hop,Hip-Hop,Instrumental,13584,3935,18437,15601,4750,20315,"[83, 100, 21]","[100, 21]","[107, 18, 1235]"
64522,119940,57892,Hip-Hop,Hip-Hop,Rock,11626,18304,10681,13476,20153,12277,[21],"[539, 21]","[101, 12, 439, 27, 31]"
694,64628,48046,Hip-Hop,Hip-Hop,Experimental,196,11651,9223,138,13493,668,[21],"[811, 21]","[125, 38]"
75372,694,20361,Hip-Hop,Hip-Hop,Instrumental,13247,196,4598,12271,138,129,[21],[21],"[18, 1235]"
64994,58213,7383,Hip-Hop,Hip-Hop,Experimental,11726,10750,1685,13533,12612,10,"[811, 21]",[21],"[38, 22]"
113032,95914,87106,Hip-Hop,Hip-Hop,Instrumental,17421,2402,14647,19302,2283,16682,[21],[21],"[18, 1235]"
32686,11787,133016,Hip-Hop,Hip-Hop,Electronic,6793,2898,20018,3717,3089,20146,"[21, 542]",[21],"[42, 468, 15]"
108500,130456,69785,Hip-Hop,Hip-Hop,Experimental,16872,19640,12400,18881,21503,14307,"[539, 21]",[21],"[41, 38]"
14358,134610,132790,Hip-Hop,Hip-Hop,Pop,3341,20206,19984,3959,21888,12953,[21],[21],"[10, 76]"
98555,78843,120302,Hip-Hop,Hip-Hop,Instrumental,15947,13584,18328,12271,15601,20205,"[539, 21]","[83, 100, 21]",[1235]
64631,141304,117253,Hip-Hop,Hip-Hop,Instrumental,11651,21243,18017,13493,22552,19472,"[811, 21]","[539, 100, 21]",[1235]
64522,11867,132042,Hip-Hop,Hip-Hop,Folk,11626,2901,19890,13476,3094,21634,[21],"[539, 21]","[17, 103]"
134827,142668,43623,Hip-Hop,Hip-Hop,Folk,20238,21430,8549,3593,22688,10180,[21],"[811, 83, 100, 21]","[17, 94]"
137895,10694,57639,Hip-Hop,Hip-Hop,Folk,20720,2645,10610,14456,2631,12495,[21],[21],"[17, 103, 33]"
141568,10192,120470,Hip-Hop,Hip-Hop,Electronic,21277,2517,18349,22568,2430,20146,"[100, 21]","[100, 21]","[42, 468, 15]"
130702,110265,5157,Hip-Hop,Hip-Hop,Folk,19647,17087,1814,21510,19058,1625,[21],"[539, 21]",[17]
695,147022,133273,Hip-Hop,Hip-Hop,Rock,197,21925,20043,138,16031,21772,[21],[21],"[26, 12]"
11772,99093,96403,Hip-Hop,Hip-Hop,Rock,2898,16020,15654,3089,16031,17630,[21],[21],"[12, 31]"
98577,67232,59711,Hip-Hop,Hip-Hop,International,15949,12048,10963,15196,11677,3936,"[539, 21]",[21],"[2, 118]"
10698,95915,73777,Hip-Hop,Hip-Hop,International,2645,2402,13057,2631,2283,14982,[21],[21],"[130, 2]"
13767,144181,119726,Hip-Hop,Hip-Hop,Folk,3234,21558,18274,3773,22809,14571,[21],"[539, 100, 21]","[17, 103]"
140620,69824,52389,Hip-Hop,Hip-Hop,Pop,21154,12415,9824,16031,14320,9454,[21],"[539, 21]","[10, 76, 362]"
64515,141735,10668,Hip-Hop,Hip-Hop,Rock,11625,17087,2640,13476,12271,2630,[21],"[539, 21]","[12, 70]"
108812,11916,81638,Hip-Hop,Hip-Hop,Instrumental,16889,2905,13930,18921,3070,7168,[21],[21],"[18, 1235]"
91309,71175,133438,Hip-Hop,Hip-Hop,Instrumental,15118,12630,20056,17014,11213,21803,[21],"[811, 21]","[18, 1235]"
71230,24431,50445,Hip-Hop,Hip-Hop,Rock,12637,5347,9545,14543,6274,11374,"[100, 21]",[21],"[25, 12]"
80293,7482,145549,Hip-Hop,Hip-Hop,Electronic,13756,2095,21745,1,1953,22184,[21],[21],"[296, 400, 182, 15]"
140625,144216,47671,Hip-Hop,Hip-Hop,Pop,21155,21564,9137,16031,16031,10905,[21],[21],"[10, 76]"
26012,129674,133563,Hip-Hop,Hip-Hop,Instrumental,4918,19541,20069,4454,17125,21616,[21],[21],"[107, 18, 1235]"
6603,145749,26583,Hip-Hop,Hip-Hop,Experimental,2011,21776,5784,1882,16031,5994,[21],[21],"[186, 38]"
110777,146153,59721,Hip-Hop,Hip-Hop,International,17152,21837,10964,16031,23260,6344,[21],[21],[2]
142359,146681,19412,Hip-Hop,Hip-Hop,Pop,21372,21895,4411,16031,3593,5202,[21],[21],"[10, 76]"
70773,26020,148079,Hip-Hop,Hip-Hop,International,12560,4918,22077,14476,4454,23531,"[21, 542]",[21],"[2, 79]"
61161,14542,109963,Hip-Hop,Hip-Hop,Pop,11173,3367,17037,12085,4035,9454,"[811, 21]",[21],"[10, 76, 362]"
140609,110264,60533,Hip-Hop,Hip-Hop,International,21153,17087,11075,16031,19057,12974,[21],"[539, 21]","[130, 2, 524]"
11918,14363,38833,Hip-Hop,Hip-Hop,International,2905,3344,7758,3070,3967,9237,[21],"[100, 21]","[177, 2]"
97989,103808,55238,Hip-Hop,Hip-Hop,International,15864,16315,10291,17695,18156,9169,[21],[21],"[2, 79]"
69555,63733,84144,Hip-Hop,Hip-Hop,Experimental,12353,11236,14199,14261,7473,16270,[21],[21],"[224, 38]"
64626,142092,107578,Hip-Hop,Hip-Hop,Folk,11651,18166,16748,13493,19803,18755,"[811, 21]",[21],[17]
111938,68592,120188,Hip-Hop,Hip-Hop,Pop,17282,12257,18324,19201,8732,2011,"[539, 21]","[100, 21]","[10, 76]"
144170,110778,5191,Hip-Hop,Hip-Hop,Pop,21557,17152,1102,14543,16031,334,"[539, 100, 21]",[21],[10]
71230,145751,114070,Hip-Hop,Hip-Hop,Instrumental,12637,21776,17589,14543,16031,19461,"[100, 21]",[21],[1235]
110764,22296,25608,Hip-Hop,Hip-Hop,International,17152,4920,5563,16031,661,6548,[21],[21],"[2, 602, 79]"
142082,54365,83600,Hip-Hop,Hip-Hop,Instrumental,18166,10174,14126,19803,11979,2631,[21],[21],"[18, 1235]"
121316,11779,66538,Hip-Hop,Hip-Hop,Rock,18416,2898,11946,20304,3089,10027,"[811, 539, 100, 21]",[21],"[404, 27, 12, 85]"
71693,114048,128710,Hip-Hop,Hip-Hop,Rock,12691,17582,19412,14456,19459,21203,[21],[21],"[88, 12, 85]"
61172,7492,139934,Hip-Hop,Hip-Hop,Electronic,11173,2095,21060,12085,1953,22400,"[539, 21]",[21],"[296, 468, 15]"
16162,89857,47526,Hip-Hop,Hip-Hop,Rock,3710,14962,9104,4454,16894,7073,[21],"[539, 21]","[25, 12, 85, 111]"
114051,110085,122166,Hip-Hop,Hip-Hop,Experimental,17582,17048,18507,19459,16031,20441,[21],[21],"[1, 125, 38]"
98548,24418,24741,Hip-Hop,Hip-Hop,International,15947,5347,5413,12271,6274,6350,"[539, 21]",[21],"[2, 118]"
113031,121315,63117,Hip-Hop,Hip-Hop,Rock,17421,18416,11442,19302,20304,13335,[21],"[811, 539, 100, 21]","[12, 45, 53, 439, 25, 90, 31]"
43857,26034,146961,Hip-Hop,Hip-Hop,Folk,8608,5637,21916,10230,6643,9765,"[811, 21]",[21],"[17, 103]"
50264,132965,52118,Hip-Hop,Hip-Hop,International,9517,20011,9796,11336,21462,11630,"[811, 21]","[539, 21]","[2, 46]"
71248,97570,142948,Hip-Hop,Hip-Hop,Rock,12639,15804,21444,14544,17853,22765,"[100, 21]","[539, 21]","[25, 12, 85, 111]"
75383,55100,114559,Hip-Hop,Hip-Hop,Electronic,13248,10277,17649,12271,12085,6550,"[539, 21]","[811, 21]","[495, 286, 182, 15]"
75396,43866,135229,Hip-Hop,Hip-Hop,International,13248,8608,20300,12271,6422,21947,"[539, 21]","[811, 21]","[1032, 2, 102]"
114042,11919,98235,Hip-Hop,Hip-Hop,Instrumental,17582,2905,15898,19459,3070,17910,[21],[21],"[107, 1235]"
110265,109684,48488,Hip-Hop,Hip-Hop,International,17087,17015,9291,19058,19024,11103,"[539, 21]",[21],"[2, 118]"
24424,111936,113969,Hip-Hop,Hip-Hop,Instrumental,5347,17282,17553,6274,19201,19452,[21],"[539, 21]","[18, 1235]"
141564,69824,145556,Hip-Hop,Hip-Hop,Folk,21277,12415,21746,22568,14320,23195,"[100, 21]","[539, 21]","[17, 103]"
96675,6439,27803,Hip-Hop,Hip-Hop,Experimental,15692,1996,5990,17695,706,7015,[21],[21],"[224, 1, 38]"
142086,131422,19425,Hip-Hop,Hip-Hop,Pop,18166,19793,4412,19803,18872,5203,[21],[21],[10]
114268,144179,65683,Hip-Hop,Hip-Hop,Folk,17607,21558,11824,18587,22809,13691,"[811, 21]","[539, 100, 21]",[17]
24428,107850,110689,Hip-Hop,Hip-Hop,Electronic,5347,16784,17142,6274,11677,19102,[21],[21],"[400, 42, 182, 15]"
97569,32694,127496,Hip-Hop,Hip-Hop,Instrumental,15804,6793,19279,17853,3717,19461,"[539, 21]","[21, 542]","[18, 1235]"
142082,71240,47506,Hip-Hop,Hip-Hop,Folk,18166,12639,9099,19803,14544,6150,[21],"[100, 21]","[17, 103]"
71251,11783,10384,Hip-Hop,Hip-Hop,Folk,12639,2898,2547,14544,3089,77,"[100, 21]",[21],[17]
129808,112484,3720,Hip-Hop,Hip-Hop,Rock,19557,17355,930,21393,16031,876,"[811, 21, 542]",[21],"[58, 45, 12, 53]"
123964,61172,134795,Hip-Hop,Hip-Hop,Instrumental,18752,11173,20232,20707,12085,18834,"[539, 21]","[539, 21]","[267, 1235]"
17782,40542,116709,Hip-Hop,Hip-Hop,Experimental,4065,8034,17914,4879,5934,9289,[21],"[100, 21]","[1, 125, 38]"
